Sign Title,Location
War Memorial,Canon Garland Place
Governor Blackall,Mount Blackall
Edward McGregor,4-16-17/18
Caskey Memorial,4-17-18
'A' Battery Memorial,4-36-1
Ann and Walter Hill,6-21-9
Anne Devoy,7-7-34
John Burke,7-19-1
Peter Gaffney,7-19-23
Randal MacDonnell,7-20-10
Joseph Darragh,7-27-11
James Thomas Mooney,7-45-10
William Grene Power,7-45-18
Thomas Joseph Byrnes,7-47-5
Andrew Purcell,7-50-1
John Ahern,7-51-4
William Augustine O'Carroll,7-54-9
John McDermott,7-56-3
Kevin Izod O'Doherty,7-58-27
Thomas Joseph Ryan,7A-3A-1
John Leahy,7A-4-3
John Melville,9-10-14
Mary Douglas,9-34-5
Robert Cribb,9-37-6
George Prentice,9-41-4
Florence Griffiths Buchanan,11-33-4
Sir Samuel Walker Griffith,12-11-6/7
Sir Charles Lilley,12-15-15
Elizabeth Jane Kingsbury,12‑42‑12/13
John Donaldson,12-47-13
Thomas Macdonald-Paterson,12-53-10
Infant Graves,13-3-12
Petrie Family,13-5-3
Thomas Welsby,13-9-1
Pioneer Children,13-10-4
Charles Patterson,13-30-10
George Rilatt,13-33-12
Bancroft Family,13-35-3
Sir Arthur Rutledge,13-49-15
Robert Russell Smellie,13-60-5/10
James William Wassell,13-65-10
Trooper John Cobb,13-68-16
John Turner,13-70-8
Carl Adolf Feilberg,13-71-15
Raff Bothers,13-79-1/2
Finney and Isles,13-81-5/6
Ken Hutchison,13-82-6
Dorothy Hawthorn,13-83-1/2
Sir Maurice O'Connell,13-83-9/10
Bell Family,13-84-8/9
Sir Arthur Palmer,13-88-7
Sir Anthony Musgrave,14-23-7/15
